year,mon,mday,fog,rain,snow,snowfallm,snowfalli,snowdepthm,snowdepthi,hail,thunder,tornado,meantempm,meantempi,meandewptm,meandewpti,meanpressurem,meanpressurei,meanwindspdm,meanwindspdi,meanwdire,meanwdird,meanvism,meanvisi,humidity,maxtempm,maxtempi,mintempm,mintempi,maxhumidity,minhumidity,maxdewptm,maxdewpti,mindewptm,mindewpti,maxpressurem,maxpressurei,minpressurem,minpressurei,maxwspdm,maxwspdi,minwspdm,minwspdi,maxvism,maxvisi,minvism,minvisi,gdegreedays,heatingdegreedays,coolingdegreedays,precipm,precipi,precipsource
2017,01,21,1,0,0,,,,,0,0,0,12,54,11,51,1020.41,30.13,2,1,West,281,2.1,1.3,96,17,63,7,44,100,68,15,59,8,46,1023,30.20,1019,30.09,11,7,0,0,3.5,2.2,0.8,0.5,4,12,0,0.0,0.00,3Or6HourObs
2017,01,22,1,0,0,,,,,0,0,0,14,57,9,49,1022.44,30.19,2,1,WNW,299,2.0,1.3,82,21,70,7,44,100,26,17,63,2,36,1025,30.27,1021,30.14,11,7,0,0,3.5,2.2,0.5,0.0,7,8,0,0.0,0.00,3Or6HourObs
2017,01,23,1,0,0,,,,,0,0,0,12,54,9,49,1020.83,30.15,1,0,West,270,2.1,1.3,86,20,68,4,39,100,26,15,59,4,39,1023,30.21,1019,30.09,7,5,0,0,4.0,2.5,0.5,0.0,4,12,0,0.0,0.00,3Or6HourObs
2017,01,24,1,0,0,,,,,0,0,0,12,55,13,56,1019.72,30.11,4,3,NW,320,1.7,1.0,100,16,61,9,49,100,98,16,61,10,50,1022,30.18,1018,30.06,18,12,0,0,3.0,1.9,0.5,0.0,5,10,0,0.0,0.00,3Or6HourObs
2017,01,25,0,1,0,,,,,0,1,0,14,58,14,57,1018.47,30.08,9,6,NE,42,3.5,2.1,100,17,62,12,53,100,94,15,59,13,55,1020,30.12,1017,30.04,28,17,0,0,4.5,2.8,2.0,1.0,8,8,0,13.0,0.51,Precip6GroupSynop
2017,01,26,0,1,0,,,,,0,1,0,14,58,15,58,1017.45,30.05,9,5,ESE,120,2.6,1.6,100,16,61,13,55,100,100,16,61,13,55,1019,30.10,1016,30.00,26,16,0,0,4.5,2.8,1.0,0.6,8,7,0,20.0,0.79,Precip6GroupSynop
2017,01,27,0,1,0,,,,,0,1,0,14,58,13,56,1018.65,30.08,5,3,NW,315,3.1,1.9,98,19,66,9,49,100,78,17,63,10,50,1021,30.15,1016,30.01,15,9,0,0,6.0,3.7,1.5,0.9,8,8,0,0.0,0.00,3Or6HourObs
2017,01,28,1,0,0,,,,,0,0,0,12,55,12,54,1020.09,30.12,1,1,WNW,292,2.2,1.4,98,19,67,6,43,100,83,18,64,7,45,1022,30.19,1018,30.06,13,8,0,0,4.5,2.8,0.0,0.0,5,10,0,0.0,0.00,3Or6HourObs
2017,01,29,1,0,0,,,,,0,0,0,14,58,13,55,1017.24,30.04,3,2,WNW,287,2.6,1.6,95,19,67,9,48,100,73,16,61,9,48,1019,30.09,1016,30.00,17,10,0,0,5.0,3.1,0.0,0.0,8,8,0,0.0,0.00,3Or6HourObs
2017,01,30,1,0,0,,,,,0,0,0,12,54,12,53,1016.33,30.02,0,0,NE,40,1.1,0.7,100,17,63,6,44,100,98,17,63,8,46,1019,30.09,1014,29.95,9,6,0,0,2.0,1.2,0.5,0.0,4,12,0,0.0,0.00,3Or6HourObs
2017,01,31,1,0,0,,,,,0,0,0,14,57,13,56,1016.22,30.02,3,2,WNW,299,2.0,1.2,96,20,69,7,45,100,73,18,64,9,47,1018,30.07,1014,29.95,17,10,0,0,5.0,3.1,0.5,0.0,7,8,0,0.0,0.00,3Or6HourObs
2017,02,01,1,0,0,,,,,0,0,0,14,57,12,53,1016.91,30.03,2,1,WNW,283,2.9,1.8,89,21,70,6,44,100,48,16,61,7,45,1020,30.11,1015,29.98,13,8,0,0,5.0,3.1,0.8,0.5,7,8,0,0.0,0.00,3Or6HourObs
2017,02,02,1,0,0,,,,,0,0,0,12,55,12,54,1019.89,30.12,0,0,West,280,2.4,1.4,96,20,68,5,42,100,64,18,64,7,44,1022,30.18,1019,30.08,7,5,0,0,3.5,2.2,0.8,0.5,5,10,0,0.0,0.00,3Or6HourObs
2017,02,03,1,0,0,,,,,0,0,0,13,56,13,55,1018.40,30.07,1,1,NW,307,1.9,1.2,97,19,67,7,44,100,64,19,66,9,48,1020,30.12,1016,30.01,11,7,0,0,4.0,2.5,0.0,0.0,6,10,0,0.0,0.00,3Or6HourObs
2017,02,04,1,1,0,,,,,0,1,0,14,58,13,56,1013.00,29.92,8,5,ESE,112,1.7,1.0,91,21,70,8,47,100,65,19,66,9,48,1017,30.04,1008,29.77,33,21,0,0,3.0,1.9,0.1,0.0,8,6,0,3.0,0.12,Precip6GroupSynop
2017,02,05,0,1,0,,,,,0,1,0,16,62,14,57,1014.02,29.95,12,7,SSW,199,2.5,1.6,85,21,70,11,51,100,41,19,66,8,46,1017,30.03,1011,29.86,22,14,0,0,4.5,2.8,1.2,0.7,12,4,0,0.0,0.00,3Or6HourObs
2017,02,06,1,0,0,,,,,0,0,0,14,58,12,53,1017.04,30.04,2,1,WNW,296,2.1,1.3,93,20,68,8,47,100,50,19,66,9,48,1019,30.10,1015,29.98,11,7,0,0,3.5,2.2,0.1,0.0,8,8,0,0.0,0.00,3Or6HourObs
2017,02,07,1,0,0,,,,,0,0,0,13,56,10,50,1016.92,30.03,2,2,WNW,299,2.9,1.7,87,21,70,5,41,100,34,14,57,5,41,1019,30.10,1014,29.96,15,9,0,0,5.0,3.1,0.5,0.0,6,10,0,0.0,0.00,3Or6HourObs
2017,02,08,0,0,0,,,,,0,0,0,15,60,11,52,1014.89,29.98,1,1,SW,221,2.6,1.6,82,21,70,9,49,100,42,14,57,9,47,1017,30.04,1004,29.66,9,6,0,0,4.0,2.5,1.5,0.9,10,6,0,0.0,0.00,3Or6HourObs
2017,02,09,1,0,0,,,,,0,0,0,13,56,10,50,1015.92,30.00,1,1,NW,305,2.9,1.7,91,20,69,6,43,100,47,15,59,7,45,1019,30.08,1007,29.74,17,10,0,0,4.5,2.8,0.2,0.0,6,9,0,0.0,0.00,3Or6HourObs
2017,02,10,1,0,0,,,,,0,0,0,13,56,10,49,1016.04,30.01,3,2,WNW,291,3.0,1.8,82,21,70,5,42,100,35,12,54,6,43,1018,30.06,1014,29.94,20,13,0,0,5.0,3.1,0.5,0.0,6,9,0,0.0,0.00,3Or6HourObs
2017,02,11,0,0,0,,,,,0,0,0,14,56,7,45,1016.63,30.03,2,1,WNW,300,3.3,2.0,72,23,73,4,40,100,28,11,52,4,39,1019,30.09,1015,29.98,15,9,0,0,5.0,3.1,1.5,0.9,6,8,0,0.0,0.00,3Or6HourObs
2017,02,12,0,0,0,,,,,0,0,0,14,56,7,45,1020.51,30.14,1,1,WNW,294,3.5,2.1,72,23,73,4,39,100,26,13,55,3,37,1023,30.21,1018,30.06,9,6,0,0,5.0,3.1,2.0,1.0,6,9,0,0.0,0.00,3Or6HourObs
2017,02,13,0,0,0,,,,,0,0,0,14,58,10,50,1022.39,30.19,3,2,West,280,3.1,1.9,80,23,75,5,42,100,31,13,56,6,43,1024,30.25,1020,30.14,17,10,0,0,5.0,3.1,1.0,0.6,8,6,0,0.0,0.00,3Or6HourObs
2017,02,14,0,0,0,,,,,0,0,0,14,56,12,54,1021.57,30.17,2,1,WNW,298,2.6,1.6,90,21,71,6,42,100,56,17,63,7,45,1024,30.24,1020,30.12,17,10,0,0,3.5,2.2,2.0,1.0,6,8,0,0.0,0.00,3Or6HourObs
2017,02,15,0,0,0,,,,,0,0,0,17,63,13,55,1020.87,30.15,2,1,WNW,285,2.5,1.5,82,24,75,10,51,100,31,16,61,9,48,1023,30.21,1020,30.12,13,8,0,0,5.0,3.1,2.0,1.0,13,2,0,0.0,0.00,3Or6HourObs
2017,02,16,0,0,0,,,,,0,0,0,18,66,15,58,1019.51,30.11,3,2,West,280,3.0,1.8,87,25,77,12,54,100,43,19,66,9,48,1022,30.18,1017,30.03,15,9,0,0,5.0,3.1,2.0,1.0,16,0,0,0.0,0.00,3Or6HourObs
2017,02,17,0,0,0,,,,,0,0,0,19,66,16,60,1018.27,30.07,5,3,WNW,293,3.8,2.3,84,26,79,12,54,100,46,19,66,12,54,1020,30.13,1016,29.99,18,12,0,0,5.0,3.1,2.0,1.0,16,0,2,0.0,0.00,3Or6HourObs
2017,02,18,0,0,0,,,,,0,0,0,20,68,16,61,1017.83,30.06,4,2,WNW,299,3.3,2.0,82,27,82,12,55,100,36,19,66,13,55,1020,30.12,1016,30.01,18,12,0,0,5.0,3.1,2.0,1.0,18,0,4,0.0,0.00,3Or6HourObs
2017,02,19,0,0,0,,,,,0,0,0,22,71,17,63,1013.98,29.95,4,3,SE,133,4.0,2.4,80,29,84,14,58,100,42,20,68,14,57,1020,30.12,1010,29.83,17,10,0,0,6.0,3.7,2.0,1.0,21,0,6,0.0,0.00,3Or6HourObs
2017,02,20,0,0,0,,,,,0,0,0,20,67,17,62,1006.29,29.72,5,3,North,3,3.8,2.3,88,25,77,14,57,100,63,19,66,14,57,1010,29.83,1004,29.64,17,10,0,0,5.0,3.1,2.0,1.0,17,0,2,0.0,0.00,3Or6HourObs
2017,02,21,0,0,0,,,,,0,0,0,16,62,10,51,1007.31,29.75,5,3,West,280,4.1,2.5,74,24,75,9,48,100,17,16,61,2,36,1011,29.86,1004,29.65,18,12,0,0,6.0,3.7,2.0,1.0,12,4,0,0.0,0.00,3Or6HourObs
2017,02,22,0,0,0,,,,,0,0,0,16,60,11,52,1013.48,29.93,2,1,NW,317,3.9,2.4,80,24,75,8,46,100,35,15,59,9,48,1016,30.01,1011,29.86,15,9,0,0,6.0,3.7,2.0,1.0,10,4,0,0.0,0.00,3Or6HourObs
